"Ativityname","type","img","name","price"
"限时抢购","choiceness","http://img0.gjw.com/product/2019/0115/8b95ae31274242b68f1d7237c83503ba.jpg","53度 茅台 飞天带杯（2019年产）500ml",1920
,"choiceness","http://img0.gjw.com/product/2019/0319/bce12f589920489c97d90d3353de2477.jpg","42度 扳倒井 福樽 （2012年产）480ml",79
,"choiceness","http://img0.gjw.com/product/2019/0329/37c5cc28eead443e959b2eddb2389857.jpg","53度 茅台 王子酒 （ 2018年产 ）500ml",228
"限时抢购","choiceness","http://img0.gjw.com/product/2019/0318/a5306f9c2f6c4615addea8ecbba9a2ab.jpg","53度 茅台 王子酒（酱门经典） （ 2017年产 ） 500ml",228
,"choiceness","http://img0.gjw.com/product/2017/1114/130aae1e17a84b66af3592e04b7bbc71.jpg","52度 文君酒（2013年产） 500ml",378
,"choiceness","http://img0.gjw.com/product/2019/0313/1768fbb8ce964368adb81c0ce93b8de1.jpg","53度 茅台 仁酒（2019年产）500ml",259
,"choiceness","http://img0.gjw.com/product/2019/0321/a048e21c10584f10a32edd64a371f6a6.jpg","53度 茅台 赖茅（传承）蓝色 （ 2018年产 ）500ml",288
"限时抢购","choiceness","http://img0.gjw.com/product/2017/0527/418ff41a27584913a07cb1645059bd89.jpg","法国 拉菲 传奇波尔多AOC 红葡萄酒 750ml",69
,"choiceness","http://img0.gjw.com/product/2018/0523/472d0547a9c44a4488d04dc5eabbf2e1.jpg","52度 五粮液 500ml",1099
,"choiceness","http://img0.gjw.com/product/2017/0629/92b8f818ecd14bbe9a3c55865e7bae38.jpg","【整箱装】53度 茅台 王子酒 500ml*6瓶",768
,"choiceness","http://img0.gjw.com/product/2017/0629/16340c5123714b24addb46a05330410f.jpg","【整箱装】53度 茅台 迎宾酒 500ml*6瓶",588
,"choiceness","http://img0.gjw.com/product/2017/0727/9ec9b2b1e7764180b112091fff528010.jpg","拉菲 传奇波尔多AOC 红葡萄酒 750ml*6瓶【整箱装】",368
